36. Zeile und 85.Spalte, Wert:181407.33788726068
36. Zeile und 86.Spalte, Wert:181169.5956085956
36. Zeile und 87.Spalte, Wert:181145.62970663048
36. Zeile und 88.Spalte, Wert:181280.06814551674
36. Zeile und 89.Spalte, Wert:181286.01520769126
36. Zeile und 90.Spalte, Wert:181134.5260868506
36. Zeile und 91.Spalte, Wert:181377.40371435392
36. Zeile und 92.Spalte, Wert:181090.80991773825
36. Zeile und 93.Spalte, Wert:181419.08695863993
36. Zeile und 94.Spalte, Wert:181233.39830739095
36. Zeile und 95.Spalte, Wert:181124.0538103967
36. Zeile und 96.Spalte, Wert:181118.4379200335
36. Zeile und 97.Spalte, Wert:181336.03020413293
36. Zeile und 98.Spalte, Wert:181090.68397596452
36. Zeile und 99.Spalte, Wert:180986.49129674683
36. Zeile und 100.Spalte, Wert:180582.34374319518
37. Zeile und 0.Spalte, Wert:170730.41518576146
37. Zeile und 1.Spalte, Wert:170768.63386905234
37. Zeile und 2.Spalte, Wert:171353.92896331495
37. Zeile und 3.Spalte, Wert:171898.60583278435
37. Zeile und 4.Spalte, Wert:171188.80763518735
37. Zeile und 5.Spalte, Wert:172005.70540262872
37. Zeile und 6.Spalte, Wert:173424.93955750155
37. Zeile und 7.Spalte, Wert:172026.43225823532
37. Zeile und 8.Spalte, Wert:173031.9068279304
37. Zeile und 9.Spalte, Wert:173736.632642471
37. Zeile und 10.Spalte, Wert:173724.32316123781
37. Zeile und 11.Spalte, Wert:173982.93068772616
37. Zeile und 12.Spalte, Wert:172747.19039256655
37. Zeile und 13.Spalte, Wert:175270.61098704126
37. Zeile und 14.Spalte, Wert:173916.82898062983
37. Zeile und 15.Spalte, Wert:174801.569878189
37. Zeile und 16.Spalte, Wert:174572.16096559959
37. Zeile und 17.Spalte, Wert:174659.26265804312
37. Zeile und 18.Spalte, Wert:176038.15101998154
37. Zeile und 19.Spalte, Wert:176755.65681280964
37. Zeile und 20.Spalte, Wert:175079.29501022922
37. Zeile und 21.Spalte, Wert:177211.0279894236
37. Zeile und 22.Spalte, Wert:177691.15457621092
37. Zeile und 23.Spalte, Wert:177700.42801548846
37. Zeile und 24.Spalte, Wert:176554.25015706965
37. Zeile und 25.Spalte, Wert:176369.23648186497
37. Zeile und 26.Spalte, Wert:176983.26378779483
37. Zeile und 27.Spalte, Wert:176553.97309372324
37. Zeile und 28.Spalte, Wert:175857.19678149247
37. Zeile und 29.Spalte, Wert:178280.9609792946
37. Zeile und 30.Spalte, Wert:178375.02681274517
37. Zeile und 31.Spalte, Wert:179180.32377701666
37. Zeile und 32.Spalte, Wert:179385.23952942123
37. Zeile und 33.Spalte, Wert:177354.345697346
37. Zeile und 34.Spalte, Wert:178604.45604016943
37. Zeile und 35.Spalte, Wert:179104.72979648944
37. Zeile und 36.Spalte, Wert:180028.06374949482
37. Zeile und 37.Spalte, Wert:180211.3082155711
37. Zeile und 38.Spalte, Wert:179994.78842434072
37. Zeile und 39.Spalte, Wert:179687.4204840701
37. Zeile und 40.Spalte, Wert:180486.6265654528
37. Zeile und 41.Spalte, Wert:180641.3395184464
37. Zeile und 42.Spalte, Wert:181140.37755163378
37. Zeile und 43.Spalte, Wert:178860.04732231842
37. Zeile und 44.Spalte, Wert:180407.63281001363
37. Zeile und 45.Spalte, Wert:178649.8547326121
37. Zeile und 46.Spalte, Wert:180139.1192396455
37. Zeile und 47.Spalte, Wert:181341.44331597938
37. Zeile und 48.Spalte, Wert:179839.61988383444
37. Zeile und 49.Spalte, Wert:180871.8999486484
37. Zeile und 50.Spalte, Wert:180874.46935011825
37. Zeile und 51.Spalte, Wert:180683.6033732942
37. Zeile und 52.Spalte, Wert:181260.65432648337
37. Zeile und 53.Spalte, Wert:181346.61631653327
37. Zeile und 54.Spalte, Wert:181332.98472142755
37. Zeile und 55.Spalte, Wert:181272.94226028735
37. Zeile und 56.Spalte, Wert:181294.15569859635
37. Zeile und 57.Spalte, Wert:181321.740716099
37. Zeile und 58.Spalte, Wert:179980.04553454442
37. Zeile und 59.Spalte, Wert:181004.29677579718
37. Zeile und 60.Spalte, Wert:181400.07926427605
37. Zeile und 61.Spalte, Wert:181249.62580306118
37. Zeile und 62.Spalte, Wert:181372.27070256756
37. Zeile und 63.Spalte, Wert:181256.36483161047
37. Zeile und 64.Spalte, Wert:181400.1142784782
37. Zeile und 65.Spalte, Wert:181364.87381892875
37. Zeile und 66.Spalte, Wert:181356.09454519377
37. Zeile und 67.Spalte, Wert:180959.31203389956
37. Zeile und 68.Spalte, Wert:181352.44091757233
37. Zeile und 69.Spalte, Wert:181360.13054403264
37. Zeile und 70.Spalte, Wert:181111.37071726753
37. Zeile und 71.Spalte, Wert:181211.04299139587
37. Zeile und 72.Spalte, Wert:181396.58413537327
37. Zeile und 73.Spalte, Wert:181345.85215686282
37. Zeile und 74.Spalte, Wert:181234.13595914716
37. Zeile und 75.Spalte, Wert:181380.87541714843
37. Zeile und 76.Spalte, Wert:181045.6050180419
37. Zeile und 77.Spalte, Wert:181202.55311631644
37. Zeile und 78.Spalte, Wert:181377.8094779366
37. Zeile und 79.Spalte, Wert:181756.62024142934
37. Zeile und 80.Spalte, Wert:181299.7996588477
37. Zeile und 81.Spalte, Wert:181341.35135057874
37. Zeile und 82.Spalte, Wert:181367.1580496735
37. Zeile und 83.Spalte, Wert:181399.06876795605
37. Zeile und 84.Spalte, Wert:181230.91598570076
37. Zeile und 85.Spalte, Wert:180743.30025176166
37. Zeile und 86.Spalte, Wert:181379.99741265312
37. Zeile und 87.Spalte, Wert:181342.87714159625
37. Zeile und 88.Spalte, Wert:181355.06459863784
37. Zeile und 89.Spalte, Wert:181386.96613274023
37. Zeile und 90.Spalte, Wert:181362.18662791775
37. Zeile und 91.Spalte, Wert:180976.2615841622
37. Zeile und 92.Spalte, Wert:181350.4913576848
37. Zeile und 93.Spalte, Wert:181345.1677625549
37. Zeile und 94.Spalte, Wert:181123.52247332604
37. Zeile und 95.Spalte, Wert:181237.31191190254
37. Zeile und 96.Spalte, Wert:181143.77848047373
37. Zeile und 97.Spalte, Wert:180869.21066522307
37. Zeile und 98.Spalte, Wert:181242.00678654105
37. Zeile und 99.Spalte, Wert:180407.3452719525
37. Zeile und 100.Spalte, Wert:181258.59344608078
38. Zeile und 0.Spalte, Wert:170814.88800512077
38. Zeile und 1.Spalte, Wert:171301.83256699686
38. Zeile und 2.Spalte, Wert:169358.42413736368
38. Zeile und 3.Spalte, Wert:170656.55085146503
38. Zeile und 4.Spalte, Wert:172799.20894876248
38. Zeile und 5.Spalte, Wert:171380.55599593258
38. Zeile und 6.Spalte, Wert:172527.2371667508
38. Zeile und 7.Spalte, Wert:173086.34152758977
38. Zeile und 8.Spalte, Wert:173234.35333349154
38. Zeile und 9.Spalte, Wert:170092.3084490118
38. Zeile und 10.Spalte, Wert:172612.73968813935
38. Zeile und 11.Spalte, Wert:172908.5127694147
38. Zeile und 12.Spalte, Wert:172328.74513385634
38. Zeile und 13.Spalte, Wert:173029.8473075077
38. Zeile und 14.Spalte, Wert:175596.41966487808
38. Zeile und 15.Spalte, Wert:174991.1992117966
38. Zeile und 16.Spalte, Wert:173301.02045122077
38. Zeile und 17.Spalte, Wert:174145.00764041574
38. Zeile und 18.Spalte, Wert:175790.77036626247
38. Zeile und 19.Spalte, Wert:176403.01277887207
38. Zeile und 20.Spalte, Wert:176455.24955994263
38. Zeile und 21.Spalte, Wert:175391.59876676832
38. Zeile und 22.Spalte, Wert:175490.67626221644
38. Zeile und 23.Spalte, Wert:176074.90768126195
38. Zeile und 24.Spalte, Wert:176171.47861536982
38. Zeile und 25.Spalte, Wert:176522.77937222048
38. Zeile und 26.Spalte, Wert:176846.81458186897
38. Zeile und 27.Spalte, Wert:178276.45235836064
38. Zeile und 28.Spalte, Wert:177902.31107348407
38. Zeile und 29.Spalte, Wert:177731.02889559005
38. Zeile und 30.Spalte, Wert:178617.48850759122
38. Zeile und 31.Spalte, Wert:178866.2954231086
38. Zeile und 32.Spalte, Wert:178776.34835643193
38. Zeile und 33.Spalte, Wert:179148.05906202304
38. Zeile und 34.Spalte, Wert:179329.0195639348
38. Zeile und 35.Spalte, Wert:176304.61242800832
38. Zeile und 36.Spalte, Wert:178578.49053889373
38. Zeile und 37.Spalte, Wert:178804.44719716816
38. Zeile und 38.Spalte, Wert:178792.43302071284
38. Zeile und 39.Spalte, Wert:179430.71778293402
38. Zeile und 40.Spalte, Wert:179586.8290555464
38. Zeile und 41.Spalte, Wert:179407.0633320569
38. Zeile und 42.Spalte, Wert:180458.6621052904
38. Zeile und 43.Spalte, Wert:179808.70721299705
38. Zeile und 44.Spalte, Wert:180176.19474096812
38. Zeile und 45.Spalte, Wert:180581.7125519241
38. Zeile und 46.Spalte, Wert:179996.9441741184
38. Zeile und 47.Spalte, Wert:179573.12158868712
38. Zeile und 48.Spalte, Wert:180856.5641284965
38. Zeile und 49.Spalte, Wert:180759.7450235863
38. Zeile und 50.Spalte, Wert:180486.293159265
38. Zeile und 51.Spalte, Wert:181071.45048253058
38. Zeile und 52.Spalte, Wert:180831.7643123737
38. Zeile und 53.Spalte, Wert:180877.87886998002
38. Zeile und 54.Spalte, Wert:180859.79977896484
38. Zeile und 55.Spalte, Wert:180941.6022461168
38. Zeile und 56.Spalte, Wert:181057.6494127165
38. Zeile und 57.Spalte, Wert:180915.20219781928
38. Zeile und 58.Spalte, Wert:180782.33454641787
38. Zeile und 59.Spalte, Wert:181060.87935346985
38. Zeile und 60.Spalte, Wert:181077.07922908853
38. Zeile und 61.Spalte, Wert:181082.8324111938
38. Zeile und 62.Spalte, Wert:180981.43820729887
38. Zeile und 63.Spalte, Wert:181079.95968221218
38. Zeile und 64.Spalte, Wert:181049.46597029697
38. Zeile und 65.Spalte, Wert:180993.93745425728
38. Zeile und 66.Spalte, Wert:181105.48027137324
38. Zeile und 67.Spalte, Wert:181094.1817178802
38. Zeile und 68.Spalte, Wert:181052.46896354636
38. Zeile und 69.Spalte, Wert:181068.19434021635
38. Zeile und 70.Spalte, Wert:181069.12307273256
38. Zeile und 71.Spalte, Wert:181080.6318414563
38. Zeile und 72.Spalte, Wert:180809.0257145857
38. Zeile und 73.Spalte, Wert:181103.7275535666
38. Zeile und 74.Spalte, Wert:181064.03276684645
38. Zeile und 75.Spalte, Wert:181107.8986288293
38. Zeile und 76.Spalte, Wert:181063.3653408092
38. Zeile und 77.Spalte, Wert:181059.0375677443
38. Zeile und 78.Spalte, Wert:181076.26996744433
38. Zeile und 79.Spalte, Wert:182048.54851779275
38. Zeile und 80.Spalte, Wert:181105.9049772773
38. Zeile und 81.Spalte, Wert:181112.77872964132
38. Zeile und 82.Spalte, Wert:180818.53851932997
38. Zeile und 83.Spalte, Wert:180852.30448186427
38. Zeile und 84.Spalte, Wert:181084.8008660759
38. Zeile und 85.Spalte, Wert:181107.7581147013
38. Zeile und 86.Spalte, Wert:181001.23000179368
38. Zeile und 87.Spalte, Wert:181092.22039132853
38. Zeile und 88.Spalte, Wert:181013.25607653477
38. Zeile und 89.Spalte, Wert:181048.60985139164
38. Zeile und 90.Spalte, Wert:180645.07626695084
38. Zeile und 91.Spalte, Wert:181051.28900636724
38. Zeile und 92.Spalte, Wert:181050.55044150373
38. Zeile und 93.Spalte, Wert:180996.34455644854
38. Zeile und 94.Spalte, Wert:181095.32295295654
38. Zeile und 95.Spalte, Wert:181091.51075748252
38. Zeile und 96.Spalte, Wert:181089.41942535114
38. Zeile und 97.Spalte, Wert:180061.64567507498
38. Zeile und 98.Spalte, Wert:180754.75204249704
38. Zeile und 99.Spalte, Wert:181025.0407317249
38. Zeile und 100.Spalte, Wert:181061.16450879545
39. Zeile und 0.Spalte, Wert:172163.6805769428
39. Zeile und 1.Spalte, Wert:170973.93396228948
39. Zeile und 2.Spalte, Wert:170107.0163440831
39. Zeile und 3.Spalte, Wert:172246.81898255728
39. Zeile und 4.Spalte, Wert:171150.2676460298
39. Zeile und 5.Spalte, Wert:172499.9044732134
39. Zeile und 6.Spalte, Wert:172421.92545601964
39. Zeile und 7.Spalte, Wert:171654.58375493952
39. Zeile und 8.Spalte, Wert:170454.8864171946
39. Zeile und 9.Spalte, Wert:171819.79204719636
39. Zeile und 10.Spalte, Wert:173392.52959092343
39. Zeile und 11.Spalte, Wert:174408.81629482468
39. Zeile und 12.Spalte, Wert:171103.83291550446
39. Zeile und 13.Spalte, Wert:173849.4340877633
39. Zeile und 14.Spalte, Wert:175172.4906786235
39. Zeile und 15.Spalte, Wert:173905.0764639313
39. Zeile und 16.Spalte, Wert:174869.5943298528
39. Zeile und 17.Spalte, Wert:175016.2161390991
39. Zeile und 18.Spalte, Wert:176294.54411061856
39. Zeile und 19.Spalte, Wert:176381.45097150162
39. Zeile und 20.Spalte, Wert:175052.48752274
39. Zeile und 21.Spalte, Wert:177640.47888198553
39. Zeile und 22.Spalte, Wert:174475.00021244338
39. Zeile und 23.Spalte, Wert:175826.67919083362
39. Zeile und 24.Spalte, Wert:175251.0756961359
39. Zeile und 25.Spalte, Wert:176816.0455459422
39. Zeile und 26.Spalte, Wert:177556.6690188033
39. Zeile und 27.Spalte, Wert:178131.0104123069
39. Zeile und 28.Spalte, Wert:178035.65814241918
39. Zeile und 29.Spalte, Wert:178043.1342341181
39. Zeile und 30.Spalte, Wert:178313.4522559588
39. Zeile und 31.Spalte, Wert:178496.7998404205
39. Zeile und 32.Spalte, Wert:175280.38657562694
39. Zeile und 33.Spalte, Wert:178688.2317776866
39. Zeile und 34.Spalte, Wert:178097.35589210526
39. Zeile und 35.Spalte, Wert:178453.98910917342
39. Zeile und 36.Spalte, Wert:177155.18378024996
39. Zeile und 37.Spalte, Wert:176961.52789301643
39. Zeile und 38.Spalte, Wert:177874.0411948628
39. Zeile und 39.Spalte, Wert:180329.69931301213
39. Zeile und 40.Spalte, Wert:179654.447625326
39. Zeile und 41.Spalte, Wert:178517.74607766446
39. Zeile und 42.Spalte, Wert:179378.00819269684
39. Zeile und 43.Spalte, Wert:179817.81447969368
39. Zeile und 44.Spalte, Wert:178127.33736152467
39. Zeile und 45.Spalte, Wert:180418.345904522
39. Zeile und 46.Spalte, Wert:180492.20937879675
39. Zeile und 47.Spalte, Wert:179227.53631211488
39. Zeile und 48.Spalte, Wert:180747.10307514574
39. Zeile und 49.Spalte, Wert:180577.3164941969
39. Zeile und 50.Spalte, Wert:180844.674328591
39. Zeile und 51.Spalte, Wert:180421.20603807637
39. Zeile und 52.Spalte, Wert:178870.3117673752
39. Zeile und 53.Spalte, Wert:180846.95928704817
39. Zeile und 54.Spalte, Wert:180917.00838976057
39. Zeile und 55.Spalte, Wert:180722.1546850248
39. Zeile und 56.Spalte, Wert:180828.61617780264
39. Zeile und 57.Spalte, Wert:179959.77904727796
39. Zeile und 58.Spalte, Wert:180750.77911764348
39. Zeile und 59.Spalte, Wert:180653.48450784996
39. Zeile und 60.Spalte, Wert:179898.56038328615
39. Zeile und 61.Spalte, Wert:180771.19027206628
39. Zeile und 62.Spalte, Wert:180880.41551094028
39. Zeile und 63.Spalte, Wert:180777.33342124606
39. Zeile und 64.Spalte, Wert:180768.12147867752
39. Zeile und 65.Spalte, Wert:180908.64396220745
39. Zeile und 66.Spalte, Wert:180901.98192377115
39. Zeile und 67.Spalte, Wert:180888.08091128213
39. Zeile und 68.Spalte, Wert:180880.46045649107
39. Zeile und 69.Spalte, Wert:180832.98275940242
39. Zeile und 70.Spalte, Wert:180576.47845083973
39. Zeile und 71.Spalte, Wert:180840.01958570353
39. Zeile und 72.Spalte, Wert:180891.90189343394
39. Zeile und 73.Spalte, Wert:180867.11432686128
39. Zeile und 74.Spalte, Wert:180909.60986259073
39. Zeile und 75.Spalte, Wert:180822.5041957563
39. Zeile und 76.Spalte, Wert:180847.30928037033
39. Zeile und 77.Spalte, Wert:180708.28099158063
39. Zeile und 78.Spalte, Wert:181269.5419317062
39. Zeile und 79.Spalte, Wert:180871.36238502167
39. Zeile und 80.Spalte, Wert:180763.46131693936
39. Zeile und 81.Spalte, Wert:180893.29723487212
39. Zeile und 82.Spalte, Wert:180895.1861252587
39. Zeile und 83.Spalte, Wert:180709.65527277716
39. Zeile und 84.Spalte, Wert:180894.1428499458
39. Zeile und 85.Spalte, Wert:180798.4996369972
39. Zeile und 86.Spalte, Wert:180760.5021855309
39. Zeile und 87.Spalte, Wert:180638.82007213662
39. Zeile und 88.Spalte, Wert:180880.00887437246
39. Zeile und 89.Spalte, Wert:180633.0293989625
39. Zeile und 90.Spalte, Wert:179995.06721084632
39. Zeile und 91.Spalte, Wert:180887.7436512332
39. Zeile und 92.Spalte, Wert:180550.1299709905
39. Zeile und 93.Spalte, Wert:180826.58489217717
39. Zeile und 94.Spalte, Wert:180251.89372493292
39. Zeile und 95.Spalte, Wert:180706.28751513574
39. Zeile und 96.Spalte, Wert:180637.94319723023
39. Zeile und 97.Spalte, Wert:180849.42092194292
39. Zeile und 98.Spalte, Wert:180629.44834512938
39. Zeile und 99.Spalte, Wert:180497.6776582536
39. Zeile und 100.Spalte, Wert:180823.38436292083
40. Zeile und 0.Spalte, Wert:172546.58166950225
40. Zeile und 1.Spalte, Wert:171473.68994209744
40. Zeile und 2.Spalte, Wert:170692.4481727629
40. Zeile und 3.Spalte, Wert:172804.86502182353
40. Zeile und 4.Spalte, Wert:173389.9780486882
40. Zeile und 5.Spalte, Wert:171640.7163369636
40. Zeile und 6.Spalte, Wert:172819.77967475535
40. Zeile und 7.Spalte, Wert:173719.8486001766
40. Zeile und 8.Spalte, Wert:173700.12070567676
40. Zeile und 9.Spalte, Wert:174278.7740041132
40. Zeile und 10.Spalte, Wert:173215.53986395767
40. Zeile und 11.Spalte, Wert:173680.67506244007
40. Zeile und 12.Spalte, Wert:175134.55627218034
40. Zeile und 13.Spalte, Wert:176004.5214440704
40. Zeile und 14.Spalte, Wert:174141.58891066178
40. Zeile und 15.Spalte, Wert:175600.4703834701
40. Zeile und 16.Spalte, Wert:174796.52030725285
40. Zeile und 17.Spalte, Wert:175713.88958294532
40. Zeile und 18.Spalte, Wert:176044.4109817624
40. Zeile und 19.Spalte, Wert:176754.79408410427
40. Zeile und 20.Spalte, Wert:175663.79300008094
40. Zeile und 21.Spalte, Wert:177245.27471759214
40. Zeile und 22.Spalte, Wert:177736.32045925618
40. Zeile und 23.Spalte, Wert:175489.20255632012
40. Zeile und 24.Spalte, Wert:177561.31874923632
40. Zeile und 25.Spalte, Wert:177784.4487851732
40. Zeile und 26.Spalte, Wert:177785.4165462857
40. Zeile und 27.Spalte, Wert:178277.40602992306
40. Zeile und 28.Spalte, Wert:177290.54633740854
40. Zeile und 29.Spalte, Wert:179337.29321440659
40. Zeile und 30.Spalte, Wert:178201.8568454342
40. Zeile und 31.Spalte, Wert:178180.5579279176
40. Zeile und 32.Spalte, Wert:179419.49997152458
40. Zeile und 33.Spalte, Wert:178607.3267859536
40. Zeile und 34.Spalte, Wert:180016.4846765231
40. Zeile und 35.Spalte, Wert:179126.27991237468
40. Zeile und 36.Spalte, Wert:179213.32051059263
40. Zeile und 37.Spalte, Wert:179852.40486075098
40. Zeile und 38.Spalte, Wert:179371.11206478448
40. Zeile und 39.Spalte, Wert:180319.04493183768
40. Zeile und 40.Spalte, Wert:180429.31592025218
40. Zeile und 41.Spalte, Wert:180982.77268786522
40. Zeile und 42.Spalte, Wert:180638.5351305555
40. Zeile und 43.Spalte, Wert:179479.31131213065
40. Zeile und 44.Spalte, Wert:180791.34220872237
40. Zeile und 45.Spalte, Wert:179422.93166538535
40. Zeile und 46.Spalte, Wert:180072.76402679103
40. Zeile und 47.Spalte, Wert:181015.79236666788
40. Zeile und 48.Spalte, Wert:180040.98268235268
40. Zeile und 49.Spalte, Wert:181108.6217790958
40. Zeile und 50.Spalte, Wert:180696.96953753324
40. Zeile und 51.Spalte, Wert:180147.36472411797
40. Zeile und 52.Spalte, Wert:181287.49853805546
40. Zeile und 53.Spalte, Wert:180659.18351143823
40. Zeile und 54.Spalte, Wert:181260.91417337564
40. Zeile und 55.Spalte, Wert:180767.9938127944
40. Zeile und 56.Spalte, Wert:181231.49761993127
40. Zeile und 57.Spalte, Wert:181271.81388172615
40. Zeile und 58.Spalte, Wert:181264.96086472354
40. Zeile und 59.Spalte, Wert:181286.1387030941
40. Zeile und 60.Spalte, Wert:181266.89921402032
40. Zeile und 61.Spalte, Wert:181511.51346744815
40. Zeile und 62.Spalte, Wert:181256.67676997397
40. Zeile und 63.Spalte, Wert:181266.5032193469
40. Zeile und 64.Spalte, Wert:180825.58873807592
40. Zeile und 65.Spalte, Wert:181016.86407794378
40. Zeile und 66.Spalte, Wert:181265.74815196166
40. Zeile und 67.Spalte, Wert:181283.85514810606
40. Zeile und 68.Spalte, Wert:181285.23728348492
40. Zeile und 69.Spalte, Wert:181179.49904853877
40. Zeile und 70.Spalte, Wert:180790.67987814348
40. Zeile und 71.Spalte, Wert:180789.16753708821
40. Zeile und 72.Spalte, Wert:181258.70249517358
40. Zeile und 73.Spalte, Wert:181282.50316889895
40. Zeile und 74.Spalte, Wert:181293.50238338506
40. Zeile und 75.Spalte, Wert:181285.06872104178
40. Zeile und 76.Spalte, Wert:180747.4853764
40. Zeile und 77.Spalte, Wert:180472.33577149466
40. Zeile und 78.Spalte, Wert:181290.52511748564
40. Zeile und 79.Spalte, Wert:181068.88719884548
40. Zeile und 80.Spalte, Wert:181268.045273627
40. Zeile und 81.Spalte, Wert:181273.8264057795
40. Zeile und 82.Spalte, Wert:181248.28431335016
40. Zeile und 83.Spalte, Wert:181210.22791067458
40. Zeile und 84.Spalte, Wert:180370.50907875225
40. Zeile und 85.Spalte, Wert:181223.04478070754
40. Zeile und 86.Spalte, Wert:181274.76733296236
40. Zeile und 87.Spalte, Wert:181179.90711875056
40. Zeile und 88.Spalte, Wert:179473.55121405557
40. Zeile und 89.Spalte, Wert:181196.9149491125
40. Zeile und 90.Spalte, Wert:180275.5440184679
40. Zeile und 91.Spalte, Wert:181293.121949299
40. Zeile und 92.Spalte, Wert:181211.01242015805
40. Zeile und 93.Spalte, Wert:181237.38135021387
40. Zeile und 94.Spalte, Wert:181153.81667494317
40. Zeile und 95.Spalte, Wert:181277.18160627058
40. Zeile und 96.Spalte, Wert:180652.68241039538
40. Zeile und 97.Spalte, Wert:179802.9994637578
40. Zeile und 98.Spalte, Wert:181160.9020525419
40. Zeile und 99.Spalte, Wert:181201.12676628435
40. Zeile und 100.Spalte, Wert:181274.92698358005
41. Zeile und 0.Spalte, Wert:169790.55916890837
41. Zeile und 1.Spalte, Wert:171242.91119950914
41. Zeile und 2.Spalte, Wert:170578.09123574427
41. Zeile und 3.Spalte, Wert:171091.58708033132
41. Zeile und 4.Spalte, Wert:171451.71790183848
41. Zeile und 5.Spalte, Wert:172227.22237980698
41. Zeile und 6.Spalte, Wert:171403.31998500513
41. Zeile und 7.Spalte, Wert:172269.9916679615
41. Zeile und 8.Spalte, Wert:172899.58217519976
41. Zeile und 9.Spalte, Wert:173473.07322906287
41. Zeile und 10.Spalte, Wert:173023.14426520278
41. Zeile und 11.Spalte, Wert:173184.6512959806
41. Zeile und 12.Spalte, Wert:175126.23607820278
41. Zeile und 13.Spalte, Wert:174766.6416254442
41. Zeile und 14.Spalte, Wert:174048.99870251142
41. Zeile und 15.Spalte, Wert:173611.89113671271
41. Zeile und 16.Spalte, Wert:173508.68506200777
41. Zeile und 17.Spalte, Wert:172650.7428725275
41. Zeile und 18.Spalte, Wert:175588.0800685811
41. Zeile und 19.Spalte, Wert:175584.20081677512
41. Zeile und 20.Spalte, Wert:175933.20040388967
41. Zeile und 21.Spalte, Wert:176661.77542573598
41. Zeile und 22.Spalte, Wert:176082.8338554506
41. Zeile und 23.Spalte, Wert:176130.0573543146
41. Zeile und 24.Spalte, Wert:176418.95060538806
41. Zeile und 25.Spalte, Wert:176312.35467870798
41. Zeile und 26.Spalte, Wert:176940.5415528329
41. Zeile und 27.Spalte, Wert:177849.50733251136
41. Zeile und 28.Spalte, Wert:176822.04334249644
41. Zeile und 29.Spalte, Wert:178039.32531248708
41. Zeile und 30.Spalte, Wert:177884.48955254702
41. Zeile und 31.Spalte, Wert:177293.02436770787
41. Zeile und 32.Spalte, Wert:178220.78906446852
41. Zeile und 33.Spalte, Wert:178630.86885986352
41. Zeile und 34.Spalte, Wert:178616.91213099906
41. Zeile und 35.Spalte, Wert:178719.82453462732
41. Zeile und 36.Spalte, Wert:178874.8619501962
41. Zeile und 37.Spalte, Wert:179129.45089088046
41. Zeile und 38.Spalte, Wert:178158.29761145014
41. Zeile und 39.Spalte, Wert:179665.1942424402
41. Zeile und 40.Spalte, Wert:179888.88318478985
41. Zeile und 41.Spalte, Wert:178749.67745992044
41. Zeile und 42.Spalte, Wert:180417.6052774495
41. Zeile und 43.Spalte, Wert:180160.36775710192
41. Zeile und 44.Spalte, Wert:180193.38574408248
41. Zeile und 45.Spalte, Wert:179730.47700471914
41. Zeile und 46.Spalte, Wert:180342.48781922983
41. Zeile und 47.Spalte, Wert:180398.05390632342
41. Zeile und 48.Spalte, Wert:180653.0800044267
41. Zeile und 49.Spalte, Wert:180498.9565324371
41. Zeile und 50.Spalte, Wert:180610.68613997404
41. Zeile und 51.Spalte, Wert:180170.13190027987
41. Zeile und 52.Spalte, Wert:180069.20457598602
41. Zeile und 53.Spalte, Wert:180339.30940598017
41. Zeile und 54.Spalte, Wert:179915.0922208961
41. Zeile und 55.Spalte, Wert:180851.6968186816
41. Zeile und 56.Spalte, Wert:180865.54809024997
41. Zeile und 57.Spalte, Wert:180838.67816457414
41. Zeile und 58.Spalte, Wert:180652.74421639225
41. Zeile und 59.Spalte, Wert:180853.38505536632
41. Zeile und 60.Spalte, Wert:180883.6981134706
41. Zeile und 61.Spalte, Wert:180662.61782991918
41. Zeile und 62.Spalte, Wert:180678.97035212955
41. Zeile und 63.Spalte, Wert:180567.90573788728
41. Zeile und 64.Spalte, Wert:180332.60198779748
41. Zeile und 65.Spalte, Wert:180650.6225784054
41. Zeile und 66.Spalte, Wert:180866.89904989357
41. Zeile und 67.Spalte, Wert:180575.93348560523
41. Zeile und 68.Spalte, Wert:180836.02641141127
41. Zeile und 69.Spalte, Wert:180598.11165995148
41. Zeile und 70.Spalte, Wert:180746.6062262847
41. Zeile und 71.Spalte, Wert:180585.9772915103
41. Zeile und 72.Spalte, Wert:180849.74823390908
41. Zeile und 73.Spalte, Wert:181213.74939292838
41. Zeile und 74.Spalte, Wert:180391.3929181526
41. Zeile und 75.Spalte, Wert:180554.98463301058
41. Zeile und 76.Spalte, Wert:180809.25030977748
41. Zeile und 77.Spalte, Wert:180854.05427626785
41. Zeile und 78.Spalte, Wert:180875.94941600246
41. Zeile und 79.Spalte, Wert:180565.2562947587
41. Zeile und 80.Spalte, Wert:180870.1039455383
41. Zeile und 81.Spalte, Wert:180863.1716058819
41. Zeile und 82.Spalte, Wert:179075.87342198088
41. Zeile und 83.Spalte, Wert:180835.1680522513
41. Zeile und 84.Spalte, Wert:180710.46097158166
41. Zeile und 85.Spalte, Wert:180533.40343276242
41. Zeile und 86.Spalte, Wert:180494.46372111174
41. Zeile und 87.Spalte, Wert:180660.1051977538
41. Zeile und 88.Spalte, Wert:180887.67966445084
41. Zeile und 89.Spalte, Wert:180426.04992891382
41. Zeile und 90.Spalte, Wert:180842.67081675754
41. Zeile und 91.Spalte, Wert:180834.5276942167
41. Zeile und 92.Spalte, Wert:180893.69244888428
41. Zeile und 93.Spalte, Wert:180389.75915215566
41. Zeile und 94.Spalte, Wert:180774.94002714835
41. Zeile und 95.Spalte, Wert:180541.5439147113
41. Zeile und 96.Spalte, Wert:180642.4787293327
41. Zeile und 97.Spalte, Wert:180310.8701207181
