1. Zeile und 17.Spalte, Wert:177751.94625244077
1. Zeile und 18.Spalte, Wert:177637.08100931495
1. Zeile und 19.Spalte, Wert:177992.46330574772
1. Zeile und 20.Spalte, Wert:177337.99726821645
1. Zeile und 21.Spalte, Wert:178102.9512032226
1. Zeile und 22.Spalte, Wert:177420.2142864333
1. Zeile und 23.Spalte, Wert:179010.7849973144
1. Zeile und 24.Spalte, Wert:179189.65131729725
1. Zeile und 25.Spalte, Wert:178601.92318290018
1. Zeile und 26.Spalte, Wert:179806.9774701622
1. Zeile und 27.Spalte, Wert:179936.33007246756
1. Zeile und 28.Spalte, Wert:179171.71915723648
1. Zeile und 29.Spalte, Wert:179969.95908967828
1. Zeile und 30.Spalte, Wert:181177.55569909708
1. Zeile und 31.Spalte, Wert:179755.23131968192
1. Zeile und 32.Spalte, Wert:181636.53675430967
1. Zeile und 33.Spalte, Wert:181504.32500687457
1. Zeile und 34.Spalte, Wert:180271.70531732132
1. Zeile und 35.Spalte, Wert:181473.94622175582
1. Zeile und 36.Spalte, Wert:181267.33310947285
1. Zeile und 37.Spalte, Wert:182463.70326157173
1. Zeile und 38.Spalte, Wert:182488.9113519107
1. Zeile und 39.Spalte, Wert:182611.48840003723
1. Zeile und 40.Spalte, Wert:181557.29650469037
1. Zeile und 41.Spalte, Wert:182919.23502941738
1. Zeile und 42.Spalte, Wert:181410.37724540872
1. Zeile und 43.Spalte, Wert:182842.08865867893
1. Zeile und 44.Spalte, Wert:182744.84710989622
1. Zeile und 45.Spalte, Wert:182923.37242646734
1. Zeile und 46.Spalte, Wert:183320.48037219667
1. Zeile und 47.Spalte, Wert:183298.80612155958
1. Zeile und 48.Spalte, Wert:182914.04301656596
1. Zeile und 49.Spalte, Wert:183045.8839850726
1. Zeile und 50.Spalte, Wert:182688.29178044223
1. Zeile und 51.Spalte, Wert:182996.35984871327
1. Zeile und 52.Spalte, Wert:183157.12805521145
1. Zeile und 53.Spalte, Wert:183225.0910320645
1. Zeile und 54.Spalte, Wert:183529.30814294293
1. Zeile und 55.Spalte, Wert:183221.69766561303
1. Zeile und 56.Spalte, Wert:183190.30874154408
1. Zeile und 57.Spalte, Wert:183052.12388926354
1. Zeile und 58.Spalte, Wert:183285.4358017691
1. Zeile und 59.Spalte, Wert:183507.99280325917
1. Zeile und 60.Spalte, Wert:183309.3493567095
1. Zeile und 61.Spalte, Wert:183146.9531847774
1. Zeile und 62.Spalte, Wert:183340.39803563766
1. Zeile und 63.Spalte, Wert:182919.9196854754
1. Zeile und 64.Spalte, Wert:183052.12478775354
1. Zeile und 65.Spalte, Wert:183175.2278963261
1. Zeile und 66.Spalte, Wert:183415.80925112663
1. Zeile und 67.Spalte, Wert:183318.5392863158
1. Zeile und 68.Spalte, Wert:183180.29872573307
1. Zeile und 69.Spalte, Wert:183107.73657120107
1. Zeile und 70.Spalte, Wert:183173.77841532318
1. Zeile und 71.Spalte, Wert:182927.9943780617
1. Zeile und 72.Spalte, Wert:183237.1529789879
1. Zeile und 73.Spalte, Wert:183224.73034599097
1. Zeile und 74.Spalte, Wert:183261.08221730078
1. Zeile und 75.Spalte, Wert:183320.78890881606
1. Zeile und 76.Spalte, Wert:183009.5478870112
1. Zeile und 77.Spalte, Wert:183310.38868248303
1. Zeile und 78.Spalte, Wert:183165.0661708302
1. Zeile und 79.Spalte, Wert:183397.33305461844
1. Zeile und 80.Spalte, Wert:183079.2026986373
1. Zeile und 81.Spalte, Wert:183194.0041433353
1. Zeile und 82.Spalte, Wert:183079.15175772153
1. Zeile und 83.Spalte, Wert:183081.49150838368
1. Zeile und 84.Spalte, Wert:183383.21011476844
1. Zeile und 85.Spalte, Wert:183152.89869517274
1. Zeile und 86.Spalte, Wert:183585.30831870588
1. Zeile und 87.Spalte, Wert:183263.86568039065
1. Zeile und 88.Spalte, Wert:183022.05535303932
1. Zeile und 89.Spalte, Wert:182857.47804007898
1. Zeile und 90.Spalte, Wert:183329.48483702503
1. Zeile und 91.Spalte, Wert:183397.4155909127
1. Zeile und 92.Spalte, Wert:183025.99798506906
1. Zeile und 93.Spalte, Wert:183895.65235274562
1. Zeile und 94.Spalte, Wert:183072.58456176688
1. Zeile und 95.Spalte, Wert:183345.75850686294
1. Zeile und 96.Spalte, Wert:183274.15909397797
1. Zeile und 97.Spalte, Wert:183267.6003770353
1. Zeile und 98.Spalte, Wert:183284.42796485065
1. Zeile und 99.Spalte, Wert:183069.8432342364
1. Zeile und 100.Spalte, Wert:183214.71376155576
2. Zeile und 0.Spalte, Wert:172146.23654586944
2. Zeile und 1.Spalte, Wert:172699.16838627568
2. Zeile und 2.Spalte, Wert:173303.82983338533
2. Zeile und 3.Spalte, Wert:172747.52364653532
2. Zeile und 4.Spalte, Wert:174086.7479924814
2. Zeile und 5.Spalte, Wert:173354.8345390297
2. Zeile und 6.Spalte, Wert:173589.16376020294
2. Zeile und 7.Spalte, Wert:174480.5185190253
2. Zeile und 8.Spalte, Wert:175268.01075928024
2. Zeile und 9.Spalte, Wert:174906.39893686833
2. Zeile und 10.Spalte, Wert:174542.98991060015
2. Zeile und 11.Spalte, Wert:175587.24397773668
2. Zeile und 12.Spalte, Wert:175464.90119498727
2. Zeile und 13.Spalte, Wert:175580.9135722077
2. Zeile und 14.Spalte, Wert:176146.42359153382
2. Zeile und 15.Spalte, Wert:176314.95014975133
2. Zeile und 16.Spalte, Wert:176730.83106896598
2. Zeile und 17.Spalte, Wert:177088.3448236216
2. Zeile und 18.Spalte, Wert:177997.15267286266
2. Zeile und 19.Spalte, Wert:178546.1400980541
2. Zeile und 20.Spalte, Wert:177880.195960163
2. Zeile und 21.Spalte, Wert:177855.83535844283
2. Zeile und 22.Spalte, Wert:177655.8053075508
2. Zeile und 23.Spalte, Wert:178907.01206393418
2. Zeile und 24.Spalte, Wert:179273.53781502708
2. Zeile und 25.Spalte, Wert:179532.03890483425
2. Zeile und 26.Spalte, Wert:179122.76700832744
2. Zeile und 27.Spalte, Wert:179756.64329501078
2. Zeile und 28.Spalte, Wert:180096.50871317738
2. Zeile und 29.Spalte, Wert:179397.30806040944
2. Zeile und 30.Spalte, Wert:179804.8721189328
2. Zeile und 31.Spalte, Wert:180371.05955752995
2. Zeile und 32.Spalte, Wert:180715.21551420508
2. Zeile und 33.Spalte, Wert:181060.75888593745
2. Zeile und 34.Spalte, Wert:181168.4767619127
2. Zeile und 35.Spalte, Wert:180635.16864849676
2. Zeile und 36.Spalte, Wert:181354.60162374924
2. Zeile und 37.Spalte, Wert:181992.43503570385
2. Zeile und 38.Spalte, Wert:182322.31182411566
2. Zeile und 39.Spalte, Wert:182378.9094801109
2. Zeile und 40.Spalte, Wert:182123.30620500486
2. Zeile und 41.Spalte, Wert:182993.49683630592
2. Zeile und 42.Spalte, Wert:182820.21996192608
2. Zeile und 43.Spalte, Wert:181859.13451628337
2. Zeile und 44.Spalte, Wert:183115.65978562777
2. Zeile und 45.Spalte, Wert:182846.81623038006
2. Zeile und 46.Spalte, Wert:182356.25677540698
2. Zeile und 47.Spalte, Wert:183165.69777493604
2. Zeile und 48.Spalte, Wert:182892.81180368995
2. Zeile und 49.Spalte, Wert:183414.3041061087
2. Zeile und 50.Spalte, Wert:181533.2195865066
2. Zeile und 51.Spalte, Wert:183167.40699807656
2. Zeile und 52.Spalte, Wert:183438.81193716987
2. Zeile und 53.Spalte, Wert:183074.8367740636
2. Zeile und 54.Spalte, Wert:183117.56834969972
2. Zeile und 55.Spalte, Wert:183089.2690769122
2. Zeile und 56.Spalte, Wert:183354.3029507416
2. Zeile und 57.Spalte, Wert:183234.52972589005
2. Zeile und 58.Spalte, Wert:183200.11008651793
2. Zeile und 59.Spalte, Wert:183437.88682187174
2. Zeile und 60.Spalte, Wert:183321.6136145211
2. Zeile und 61.Spalte, Wert:183281.68653767902
2. Zeile und 62.Spalte, Wert:183379.7802347163
2. Zeile und 63.Spalte, Wert:183097.4975835081
2. Zeile und 64.Spalte, Wert:183041.71556301002
2. Zeile und 65.Spalte, Wert:183331.00072559714
2. Zeile und 66.Spalte, Wert:183258.37610087788
2. Zeile und 67.Spalte, Wert:183296.00087278744
2. Zeile und 68.Spalte, Wert:183283.45974287906
2. Zeile und 69.Spalte, Wert:183434.4926882227
2. Zeile und 70.Spalte, Wert:183628.90461388257
2. Zeile und 71.Spalte, Wert:183456.0425408209
2. Zeile und 72.Spalte, Wert:183289.95225668358
2. Zeile und 73.Spalte, Wert:183292.0817021847
2. Zeile und 74.Spalte, Wert:183430.15040019975
2. Zeile und 75.Spalte, Wert:183121.62612190613
2. Zeile und 76.Spalte, Wert:183436.28790049462
2. Zeile und 77.Spalte, Wert:183447.83256146451
2. Zeile und 78.Spalte, Wert:183425.44993671213
2. Zeile und 79.Spalte, Wert:183422.21951744257
2. Zeile und 80.Spalte, Wert:183164.91780826758
2. Zeile und 81.Spalte, Wert:183211.2744180467
2. Zeile und 82.Spalte, Wert:183430.17011759066
2. Zeile und 83.Spalte, Wert:183395.9818850675
2. Zeile und 84.Spalte, Wert:183331.38783102357
2. Zeile und 85.Spalte, Wert:183411.62583416817
2. Zeile und 86.Spalte, Wert:183231.8394477656
2. Zeile und 87.Spalte, Wert:183415.0321429462
2. Zeile und 88.Spalte, Wert:183022.78919410502
2. Zeile und 89.Spalte, Wert:183276.78825710915
2. Zeile und 90.Spalte, Wert:183381.04393851146
2. Zeile und 91.Spalte, Wert:182982.28456839218
2. Zeile und 92.Spalte, Wert:183022.31333891675
2. Zeile und 93.Spalte, Wert:183444.85914061998
2. Zeile und 94.Spalte, Wert:183240.45667240102
2. Zeile und 95.Spalte, Wert:183013.161018389
2. Zeile und 96.Spalte, Wert:183404.58984847233
2. Zeile und 97.Spalte, Wert:183406.5932800683
2. Zeile und 98.Spalte, Wert:183342.9582084331
2. Zeile und 99.Spalte, Wert:183376.6049520807
2. Zeile und 100.Spalte, Wert:183259.03505520875
3. Zeile und 0.Spalte, Wert:172416.3496298743
3. Zeile und 1.Spalte, Wert:172470.33398785544
3. Zeile und 2.Spalte, Wert:173377.60208579927
3. Zeile und 3.Spalte, Wert:173086.17272708306
3. Zeile und 4.Spalte, Wert:174377.38651241272
3. Zeile und 5.Spalte, Wert:173653.79745561452
3. Zeile und 6.Spalte, Wert:173392.95964888317
3. Zeile und 7.Spalte, Wert:174949.78194622966
3. Zeile und 8.Spalte, Wert:174397.37867403074
3. Zeile und 9.Spalte, Wert:175344.13983996186
3. Zeile und 10.Spalte, Wert:174912.83006699116
3. Zeile und 11.Spalte, Wert:175700.21679177048
3. Zeile und 12.Spalte, Wert:175752.24316110072
3. Zeile und 13.Spalte, Wert:177015.52089241892
3. Zeile und 14.Spalte, Wert:176656.0278689987
3. Zeile und 15.Spalte, Wert:176714.16725963514
3. Zeile und 16.Spalte, Wert:176472.06052780023
3. Zeile und 17.Spalte, Wert:177268.38821450874
3. Zeile und 18.Spalte, Wert:177568.84474039325
3. Zeile und 19.Spalte, Wert:178288.77827301432
3. Zeile und 20.Spalte, Wert:177884.22352529835
3. Zeile und 21.Spalte, Wert:178530.19447422252
3. Zeile und 22.Spalte, Wert:179103.1066418549
3. Zeile und 23.Spalte, Wert:179596.10997712702
3. Zeile und 24.Spalte, Wert:178888.2792458365
3. Zeile und 25.Spalte, Wert:178637.403929265
3. Zeile und 26.Spalte, Wert:178971.1496088161
3. Zeile und 27.Spalte, Wert:179975.10372138306
3. Zeile und 28.Spalte, Wert:179762.30127169736
3. Zeile und 29.Spalte, Wert:180477.54069936657
3. Zeile und 30.Spalte, Wert:180133.92757312354
3. Zeile und 31.Spalte, Wert:180810.18977043265
3. Zeile und 32.Spalte, Wert:180854.65216491985
3. Zeile und 33.Spalte, Wert:181404.96583663934
3. Zeile und 34.Spalte, Wert:181084.06757500302
3. Zeile und 35.Spalte, Wert:181463.46165746133
3. Zeile und 36.Spalte, Wert:181156.34963653062
3. Zeile und 37.Spalte, Wert:181645.79677188882
3. Zeile und 38.Spalte, Wert:181706.341440294
3. Zeile und 39.Spalte, Wert:182108.07702391432
3. Zeile und 40.Spalte, Wert:181733.25094751202
3. Zeile und 41.Spalte, Wert:182467.10747418695
3. Zeile und 42.Spalte, Wert:182257.74634715245
3. Zeile und 43.Spalte, Wert:182202.54996772524
3. Zeile und 44.Spalte, Wert:183043.66380880406
3. Zeile und 45.Spalte, Wert:183276.07296950519
3. Zeile und 46.Spalte, Wert:182621.12760403455
3. Zeile und 47.Spalte, Wert:182998.69826009264
3. Zeile und 48.Spalte, Wert:182992.2123411398
3. Zeile und 49.Spalte, Wert:182922.89414705313
3. Zeile und 50.Spalte, Wert:183281.75314305144
3. Zeile und 51.Spalte, Wert:183173.31130365052
3. Zeile und 52.Spalte, Wert:182983.5563739199
3. Zeile und 53.Spalte, Wert:183024.62515235812
3. Zeile und 54.Spalte, Wert:183027.131148315
3. Zeile und 55.Spalte, Wert:183426.69629292653
3. Zeile und 56.Spalte, Wert:182878.00159853516
3. Zeile und 57.Spalte, Wert:183156.83438527217
3. Zeile und 58.Spalte, Wert:183169.27903637127
3. Zeile und 59.Spalte, Wert:183431.26643459417
3. Zeile und 60.Spalte, Wert:182921.5132538454
3. Zeile und 61.Spalte, Wert:182979.88769235022
3. Zeile und 62.Spalte, Wert:183125.8800709739
3. Zeile und 63.Spalte, Wert:183281.28125363527
3. Zeile und 64.Spalte, Wert:182898.90670260938
3. Zeile und 65.Spalte, Wert:183435.35935284288
3. Zeile und 66.Spalte, Wert:183330.56454821373
3. Zeile und 67.Spalte, Wert:184263.33103935415
3. Zeile und 68.Spalte, Wert:183706.3103567591
3. Zeile und 69.Spalte, Wert:183234.91063198738
3. Zeile und 70.Spalte, Wert:183323.24522123623
3. Zeile und 71.Spalte, Wert:183315.6456544866
3. Zeile und 72.Spalte, Wert:183409.25615532364
3. Zeile und 73.Spalte, Wert:183144.15887579622
3. Zeile und 74.Spalte, Wert:183035.64436243093
3. Zeile und 75.Spalte, Wert:182947.60326371773
3. Zeile und 76.Spalte, Wert:182956.96079605422
3. Zeile und 77.Spalte, Wert:183240.494321039
3. Zeile und 78.Spalte, Wert:183412.52398161177
3. Zeile und 79.Spalte, Wert:182897.4371761884
3. Zeile und 80.Spalte, Wert:183039.54937661643
3. Zeile und 81.Spalte, Wert:183547.3541377033
3. Zeile und 82.Spalte, Wert:183019.74819443322
3. Zeile und 83.Spalte, Wert:183376.27384400275
3. Zeile und 84.Spalte, Wert:183207.61493281115
3. Zeile und 85.Spalte, Wert:183455.19446534305
3. Zeile und 86.Spalte, Wert:183412.62104854698
3. Zeile und 87.Spalte, Wert:183441.80977730898
3. Zeile und 88.Spalte, Wert:183107.64195245848
3. Zeile und 89.Spalte, Wert:183723.26888239323
3. Zeile und 90.Spalte, Wert:183134.90374821378
3. Zeile und 91.Spalte, Wert:182965.91687044187
3. Zeile und 92.Spalte, Wert:183434.36045101756
3. Zeile und 93.Spalte, Wert:183259.28004997002
3. Zeile und 94.Spalte, Wert:183709.30604920982
3. Zeile und 95.Spalte, Wert:183489.25534592755
3. Zeile und 96.Spalte, Wert:183233.13827270412
3. Zeile und 97.Spalte, Wert:182956.66839136806
3. Zeile und 98.Spalte, Wert:183523.5769893987
3. Zeile und 99.Spalte, Wert:183329.68392393077
3. Zeile und 100.Spalte, Wert:183286.2244637001
4. Zeile und 0.Spalte, Wert:172874.845560669
4. Zeile und 1.Spalte, Wert:171936.4856996136
4. Zeile und 2.Spalte, Wert:172718.82238111322
4. Zeile und 3.Spalte, Wert:173164.64418476567
4. Zeile und 4.Spalte, Wert:173580.11080755165
4. Zeile und 5.Spalte, Wert:173986.1227417061
4. Zeile und 6.Spalte, Wert:174092.14898608436
4. Zeile und 7.Spalte, Wert:175034.66719079617
4. Zeile und 8.Spalte, Wert:175079.9771685509
4. Zeile und 9.Spalte, Wert:175197.88601861676
4. Zeile und 10.Spalte, Wert:175208.19166347774
4. Zeile und 11.Spalte, Wert:175805.86066015216
4. Zeile und 12.Spalte, Wert:175760.68448851618
4. Zeile und 13.Spalte, Wert:175989.76724871382
4. Zeile und 14.Spalte, Wert:177005.37276897772
4. Zeile und 15.Spalte, Wert:176530.80399268097
4. Zeile und 16.Spalte, Wert:176598.75538417575
4. Zeile und 17.Spalte, Wert:177486.83599018116
4. Zeile und 18.Spalte, Wert:177243.38723719874
4. Zeile und 19.Spalte, Wert:177734.54446573442
4. Zeile und 20.Spalte, Wert:178081.16343786012
4. Zeile und 21.Spalte, Wert:178073.8022621749
4. Zeile und 22.Spalte, Wert:178007.13618884856
4. Zeile und 23.Spalte, Wert:177875.8006988521
4. Zeile und 24.Spalte, Wert:178601.5886814346
4. Zeile und 25.Spalte, Wert:179622.11247482474
