1. Zeile und 11.Spalte, Wert:38234.19516561571 
1. Zeile und 12.Spalte, Wert:38230.40894151721 
1. Zeile und 13.Spalte, Wert:38243.92042691182 
1. Zeile und 14.Spalte, Wert:38246.83084199267 
1. Zeile und 15.Spalte, Wert:38234.53759202875 
1. Zeile und 16.Spalte, Wert:38239.9494566398 
1. Zeile und 17.Spalte, Wert:44126.381466192026 
1. Zeile und 18.Spalte, Wert:38243.81837979168 
1. Zeile und 19.Spalte, Wert:38284.278680938885 
1. Zeile und 20.Spalte, Wert:38229.2021087815 
1. Zeile und 21.Spalte, Wert:38238.872812703674 
1. Zeile und 22.Spalte, Wert:38237.52941452532 
1. Zeile und 23.Spalte, Wert:38242.36473798328 
1. Zeile und 24.Spalte, Wert:38231.628053500295 
1. Zeile und 25.Spalte, Wert:38224.88462111822 
1. Zeile und 26.Spalte, Wert:38244.060285291955 
1. Zeile und 27.Spalte, Wert:38222.96225849027 
1. Zeile und 28.Spalte, Wert:38247.28516590031 
1. Zeile und 29.Spalte, Wert:38229.391899919014 
1. Zeile und 30.Spalte, Wert:38241.95970841907 
1. Zeile und 31.Spalte, Wert:38228.49654937245 
1. Zeile und 32.Spalte, Wert:38230.32700958833 
1. Zeile und 33.Spalte, Wert:38232.53577901431 
1. Zeile und 34.Spalte, Wert:38231.73961458525 
1. Zeile und 35.Spalte, Wert:38242.45492474857 
1. Zeile und 36.Spalte, Wert:38215.255269873844 
1. Zeile und 37.Spalte, Wert:38225.87122244479 
1. Zeile und 38.Spalte, Wert:38214.78450327026 
1. Zeile und 39.Spalte, Wert:38218.39731151992 
1. Zeile und 40.Spalte, Wert:38237.09349882316 
1. Zeile und 41.Spalte, Wert:38242.71581231566 
1. Zeile und 42.Spalte, Wert:38228.72365639489 
1. Zeile und 43.Spalte, Wert:38197.78841748944 
1. Zeile und 44.Spalte, Wert:38341.506902803274 
1. Zeile und 45.Spalte, Wert:38244.08023161649 
1. Zeile und 46.Spalte, Wert:38216.983396409276 
1. Zeile und 47.Spalte, Wert:38214.51133700833 
1. Zeile und 48.Spalte, Wert:38234.81130565484 
1. Zeile und 49.Spalte, Wert:38218.8015792285 
1. Zeile und 50.Spalte, Wert:37542.57317128931 
1. Zeile und 51.Spalte, Wert:38217.12261927336 
1. Zeile und 52.Spalte, Wert:38182.11954210955 
1. Zeile und 53.Spalte, Wert:38209.68283975074 
1. Zeile und 54.Spalte, Wert:38200.16986185769 
1. Zeile und 55.Spalte, Wert:38218.58905558993 
1. Zeile und 56.Spalte, Wert:38208.46934924676 
1. Zeile und 57.Spalte, Wert:38210.492987520214 
1. Zeile und 58.Spalte, Wert:38260.04865721668 
1. Zeile und 59.Spalte, Wert:38212.51033860073 
1. Zeile und 60.Spalte, Wert:37411.39518560917 
1. Zeile und 61.Spalte, Wert:38206.03951855476 
1. Zeile und 62.Spalte, Wert:38195.55480856632 
1. Zeile und 63.Spalte, Wert:38207.91764371899 
1. Zeile und 64.Spalte, Wert:38246.166097935245 
1. Zeile und 65.Spalte, Wert:38210.666846631204 
1. Zeile und 66.Spalte, Wert:38221.30437770438 
1. Zeile und 67.Spalte, Wert:38202.92974984265 
1. Zeile und 68.Spalte, Wert:38247.6124897903 
1. Zeile und 69.Spalte, Wert:38218.807647965616 
1. Zeile und 70.Spalte, Wert:38189.60735382644 
1. Zeile und 71.Spalte, Wert:38238.995184446816 
1. Zeile und 72.Spalte, Wert:38243.161757661015 
1. Zeile und 73.Spalte, Wert:38221.618340010515 
1. Zeile und 74.Spalte, Wert:38210.25683878872 
1. Zeile und 75.Spalte, Wert:38203.19699256934 
1. Zeile und 76.Spalte, Wert:38145.711938403736 
1. Zeile und 77.Spalte, Wert:38209.437128048805 
1. Zeile und 78.Spalte, Wert:38224.14010610837 
1. Zeile und 79.Spalte, Wert:37845.75350249349 
1. Zeile und 80.Spalte, Wert:38206.67557219569 
1. Zeile und 81.Spalte, Wert:37510.49310698069 
1. Zeile und 82.Spalte, Wert:37884.20973258318 
1. Zeile und 83.Spalte, Wert:38211.38582081141 
1. Zeile und 84.Spalte, Wert:38187.490806245005 
1. Zeile und 85.Spalte, Wert:37964.148093258875 
1. Zeile und 86.Spalte, Wert:38200.36523660299 
1. Zeile und 87.Spalte, Wert:37849.41364412955 
1. Zeile und 88.Spalte, Wert:37656.73757960674 
1. Zeile und 89.Spalte, Wert:37642.48201787293 
1. Zeile und 90.Spalte, Wert:37510.24918817246 
1. Zeile und 91.Spalte, Wert:38214.30586935239 
1. Zeile und 92.Spalte, Wert:37717.02438532334 
1. Zeile und 93.Spalte, Wert:38226.74889970636 
1. Zeile und 94.Spalte, Wert:37993.70094210912 
1. Zeile und 95.Spalte, Wert:38247.2936928974 
1. Zeile und 96.Spalte, Wert:37957.923816988055 
1. Zeile und 97.Spalte, Wert:37264.82981648162 
1. Zeile und 98.Spalte, Wert:38219.1559577804 
1. Zeile und 99.Spalte, Wert:38306.87133858468 
1. Zeile und 100.Spalte, Wert:38218.804765973066 
2. Zeile und 0.Spalte, Wert:38214.55282482176 
2. Zeile und 1.Spalte, Wert:37926.52241449631 
2. Zeile und 2.Spalte, Wert:38174.64090668233 
2. Zeile und 3.Spalte, Wert:38205.283373066086 
2. Zeile und 4.Spalte, Wert:38212.6770680541 
2. Zeile und 5.Spalte, Wert:38214.08360641763 
2. Zeile und 6.Spalte, Wert:37628.62923180134 
2. Zeile und 7.Spalte, Wert:38209.33413587698 
2. Zeile und 8.Spalte, Wert:38209.06579129203 
2. Zeile und 9.Spalte, Wert:38209.20714246826 
2. Zeile und 10.Spalte, Wert:38180.57970026435 
2. Zeile und 11.Spalte, Wert:38215.921363538124 
2. Zeile und 12.Spalte, Wert:38223.360345918234 
2. Zeile und 13.Spalte, Wert:38208.62326262666 
2. Zeile und 14.Spalte, Wert:38215.21156687258 
2. Zeile und 15.Spalte, Wert:38219.81544552162 
2. Zeile und 16.Spalte, Wert:38195.353175958044 
2. Zeile und 17.Spalte, Wert:38218.429613902794 
2. Zeile und 18.Spalte, Wert:38219.9103440952 
2. Zeile und 19.Spalte, Wert:38223.74548417898 
2. Zeile und 20.Spalte, Wert:38223.37180241893 
2. Zeile und 21.Spalte, Wert:38215.80550513491 
2. Zeile und 22.Spalte, Wert:38222.95006812801 
2. Zeile und 23.Spalte, Wert:38217.55396707726 
2. Zeile und 24.Spalte, Wert:38206.769766191144 
2. Zeile und 25.Spalte, Wert:38222.946210203154 
2. Zeile und 26.Spalte, Wert:38222.539503596556 
2. Zeile und 27.Spalte, Wert:38222.520906377766 
2. Zeile und 28.Spalte, Wert:38212.65127498927 
2. Zeile und 29.Spalte, Wert:38220.946936368535 
2. Zeile und 30.Spalte, Wert:38222.262894135216 
2. Zeile und 31.Spalte, Wert:38217.54970959791 
2. Zeile und 32.Spalte, Wert:38209.815137415186 
2. Zeile und 33.Spalte, Wert:38201.793001295475 
2. Zeile und 34.Spalte, Wert:38220.536576484716 
2. Zeile und 35.Spalte, Wert:38205.21868818473 
2. Zeile und 36.Spalte, Wert:38215.53129335627 
2. Zeile und 37.Spalte, Wert:38208.799377384996 
2. Zeile und 38.Spalte, Wert:38203.5594584728 
2. Zeile und 39.Spalte, Wert:38213.276802779794 
2. Zeile und 40.Spalte, Wert:38213.14821190305 
2. Zeile und 41.Spalte, Wert:38200.713922931114 
