166987.858002872,166949.816483875,168031.372276063,167950.573745572,166870.667058537,167895.11477303,166113.906293368,166825.673042631,165339.450569392,166218.473255484,169152.361539965,169201.768310222,165259.61300561,166036.558795469,166346.371518213,166580.568424192,167319.543338173,166407.540528899,165818.8486391,167742.636630196,157331.634713213
170351.832039481,170834.152782526,172014.446916402,172881.168131869,170669.226837972,169420.791880113,169221.094356019,168862.334918712,169458.888564722,169915.54434362,172851.25369233,170694.913015788,169313.965541298,169709.759648283,170260.302385752,169546.587844454,170036.638604265,169933.739278229,169438.340436044,170648.769889657,160453.080601399
167134.697438507,169212.479831144,170966.019200156,172085.07404524,170204.053140063,168773.02113148,167882.209693199,168266.16353667,167064.834408601,168640.045690736,170351.559046891,167552.627522215,168033.389624674,168262.912133633,167661.151318096,167240.950929023,167507.854508801,168037.313775896,167729.525617287,166867.369876426,158057.627860587
168702.703775596,170578.239135977,170488.260085017,172981.085226497,169355.181443348,169115.559668328,169511.197330711,168968.279043546,167515.900720975,168758.913429079,168116.543300407,168706.141455312,167432.29282366,168118.222571093,168730.18579947,168302.714995862,168695.755968478,168005.39028817,167816.017870702,168493.820220621,157456.109143067
167819.944146004,169402.87501633,167974.164165283,170378.367567382,170940.320446189,168787.795350167,169362.380713181,167105.233938549,167074.789042646,167674.846563803,168078.190353725,165916.533370949,167502.860637025,166667.914064362,166686.191030268,168234.963103433,167431.905699176,168065.698783893,167096.642322691,167381.155119095,158285.27193569
164491.452162348,167972.662843783,169815.708064983,170497.574998627,167243.460035384,167228.917984012,167394.275643393,167816.353282876,165236.328721379,164958.724226054,166036.175773678,165713.626360719,164904.863009969,165002.980682495,165980.254855267,165814.757158538,166034.591436565,166126.162264128,165098.383030795,165094.8334919,156613.998202757
165941.951884939,167652.544934279,167864.631639434,170053.679436655,169744.164225346,168544.310264173,167020.595091497,165308.830207154,165921.221644949,165527.316053969,165287.581397123,166480.612851926,165974.259892632,165433.162316008,164602.529348947,166863.698859961,165344.050318696,166179.38363337,165205.42415504,165713.086215774,156479.414633473
167015.341523208,170501.598075313,168875.163505752,173759.381230659,171131.560174428,169695.071712612,171488.772311442,169178.122017369,167974.743765662,168190.516760115,168935.132747773,167399.84099732,165812.270553643,166949.608975991,166926.6218553,167094.733923927,167617.420527426,166793.320271192,166024.284248997,167916.263194252,160089.15961786
165666.098083613,166816.049591858,166094.569694784,170191.378760153,167862.543668817,168796.156192561,166336.094758491,165976.696034806,165860.931887863,165398.779714929,165829.866844906,165428.352006922,163914.406140909,164892.601425282,164454.787101353,164885.380841213,163820.408777954,164918.670305785,164456.287008662,164936.018295762,157408.799203118
167711.116520999,168079.154512786,168550.66283454,172035.982449598,171982.60773138,170711.864245232,171725.364216832,169983.632514278,168927.119118302,169034.041776349,168318.317219139,168184.632170281,167503.913604223,166780.94016146,167297.688571634,166865.428632834,167167.407891901,167122.590458919,166774.195530514,167062.777085271,162582.038666397
