0. Zeile und 0.Spalte, Wert:74721.28721931836
0. Zeile und 1.Spalte, Wert:74864.05981360197
0. Zeile und 2.Spalte, Wert:73774.24858052004
0. Zeile und 3.Spalte, Wert:74189.91161669182
0. Zeile und 4.Spalte, Wert:75163.94890512449
0. Zeile und 5.Spalte, Wert:74477.97628721724
0. Zeile und 6.Spalte, Wert:75099.25569126703
0. Zeile und 7.Spalte, Wert:75900.5911074742
0. Zeile und 8.Spalte, Wert:75487.9075489036
0. Zeile und 9.Spalte, Wert:75649.0324622411
0. Zeile und 10.Spalte, Wert:75732.94725951384
0. Zeile und 11.Spalte, Wert:75823.87802128635
0. Zeile und 12.Spalte, Wert:76618.13955898605
0. Zeile und 13.Spalte, Wert:75847.14101992415
0. Zeile und 14.Spalte, Wert:76418.97548754
0. Zeile und 15.Spalte, Wert:76016.87516319162
0. Zeile und 16.Spalte, Wert:76319.75381042437
0. Zeile und 17.Spalte, Wert:76097.8021483747
0. Zeile und 18.Spalte, Wert:76240.5875993725
0. Zeile und 19.Spalte, Wert:76001.56402734783
0. Zeile und 20.Spalte, Wert:76214.8550480221
0. Zeile und 21.Spalte, Wert:76607.33178742371
0. Zeile und 22.Spalte, Wert:76016.46302013806
0. Zeile und 23.Spalte, Wert:77516.03902608268
0. Zeile und 24.Spalte, Wert:76208.8156511199
0. Zeile und 25.Spalte, Wert:76274.0295553198
0. Zeile und 26.Spalte, Wert:76129.41980248282
0. Zeile und 27.Spalte, Wert:76535.03399527588
0. Zeile und 28.Spalte, Wert:77495.4484335162
0. Zeile und 29.Spalte, Wert:76561.77939827017
0. Zeile und 30.Spalte, Wert:76266.85616984498
0. Zeile und 31.Spalte, Wert:76509.55933249234
0. Zeile und 32.Spalte, Wert:76343.8831083692
0. Zeile und 33.Spalte, Wert:76579.24620881483
0. Zeile und 34.Spalte, Wert:76464.67192883609
0. Zeile und 35.Spalte, Wert:76637.28561024339
0. Zeile und 36.Spalte, Wert:76409.63908857603
0. Zeile und 37.Spalte, Wert:77368.78104657565
0. Zeile und 38.Spalte, Wert:76680.55624973972
0. Zeile und 39.Spalte, Wert:76655.64344614922
0. Zeile und 40.Spalte, Wert:76594.93891812865
0. Zeile und 41.Spalte, Wert:76440.32384307204
0. Zeile und 42.Spalte, Wert:76213.24702047522
0. Zeile und 43.Spalte, Wert:76363.45394511709
0. Zeile und 44.Spalte, Wert:76450.50429131565
0. Zeile und 45.Spalte, Wert:76533.01595013918
0. Zeile und 46.Spalte, Wert:76620.46079476012
0. Zeile und 47.Spalte, Wert:76505.3528567793
0. Zeile und 48.Spalte, Wert:76639.54046194025
0. Zeile und 49.Spalte, Wert:76519.10119803608
0. Zeile und 50.Spalte, Wert:76540.83328186173
0. Zeile und 51.Spalte, Wert:76662.90453181697
0. Zeile und 52.Spalte, Wert:76634.90217348085
0. Zeile und 53.Spalte, Wert:76560.95571088936
0. Zeile und 54.Spalte, Wert:76672.27943647308
0. Zeile und 55.Spalte, Wert:76660.70360612826
0. Zeile und 56.Spalte, Wert:76650.60856352668
0. Zeile und 57.Spalte, Wert:76667.71169207798
0. Zeile und 58.Spalte, Wert:76699.8771827732
0. Zeile und 59.Spalte, Wert:76632.11660239552
0. Zeile und 60.Spalte, Wert:76297.90671635009
0. Zeile und 61.Spalte, Wert:76645.08487457503
0. Zeile und 62.Spalte, Wert:76370.01284604074
0. Zeile und 63.Spalte, Wert:76641.06312371609
0. Zeile und 64.Spalte, Wert:76610.59248535837
0. Zeile und 65.Spalte, Wert:76665.04748764042
0. Zeile und 66.Spalte, Wert:76386.6661792136
0. Zeile und 67.Spalte, Wert:76651.36479087273
0. Zeile und 68.Spalte, Wert:76514.85326281196
0. Zeile und 69.Spalte, Wert:76662.29460063163
0. Zeile und 70.Spalte, Wert:76349.26102981722
0. Zeile und 71.Spalte, Wert:76704.37139196372
0. Zeile und 72.Spalte, Wert:76711.83705567582
0. Zeile und 73.Spalte, Wert:76440.12931544497
0. Zeile und 74.Spalte, Wert:76683.98919612919
0. Zeile und 75.Spalte, Wert:76461.66697557917
0. Zeile und 76.Spalte, Wert:76555.64229054058
0. Zeile und 77.Spalte, Wert:76467.11360832704
0. Zeile und 78.Spalte, Wert:78298.3158807267
0. Zeile und 79.Spalte, Wert:76693.46901267132
0. Zeile und 80.Spalte, Wert:76599.97330505877
0. Zeile und 81.Spalte, Wert:76584.52678608499
0. Zeile und 82.Spalte, Wert:76381.75638646478
0. Zeile und 83.Spalte, Wert:76458.6428661251
0. Zeile und 84.Spalte, Wert:76628.97915532089
0. Zeile und 85.Spalte, Wert:88399.92407814362
0. Zeile und 86.Spalte, Wert:76415.00786615437
0. Zeile und 87.Spalte, Wert:76681.69359003841
0. Zeile und 88.Spalte, Wert:76360.30914743355
0. Zeile und 89.Spalte, Wert:76701.8662956782
0. Zeile und 90.Spalte, Wert:76696.535491666
0. Zeile und 91.Spalte, Wert:76691.66041212375
0. Zeile und 92.Spalte, Wert:76707.2465173036
0. Zeile und 93.Spalte, Wert:76521.47807121422
0. Zeile und 94.Spalte, Wert:76426.51538268705
0. Zeile und 95.Spalte, Wert:76679.87376846593
0. Zeile und 96.Spalte, Wert:76650.25110582102
0. Zeile und 97.Spalte, Wert:76567.98949166891
0. Zeile und 98.Spalte, Wert:78163.6549519565
0. Zeile und 99.Spalte, Wert:76584.56327707744
0. Zeile und 100.Spalte, Wert:76183.6649216185
1. Zeile und 0.Spalte, Wert:75860.02450669861
1. Zeile und 1.Spalte, Wert:75353.97532804428
1. Zeile und 2.Spalte, Wert:74975.37369631216
1. Zeile und 3.Spalte, Wert:74265.57707939377
1. Zeile und 4.Spalte, Wert:74976.98901948816
1. Zeile und 5.Spalte, Wert:75984.63103202813
1. Zeile und 6.Spalte, Wert:75501.74086184557
1. Zeile und 7.Spalte, Wert:75151.34814260784
1. Zeile und 8.Spalte, Wert:75485.02028519029
1. Zeile und 9.Spalte, Wert:75220.00062978809
1. Zeile und 10.Spalte, Wert:75673.14757397307
1. Zeile und 11.Spalte, Wert:75811.97460897578
1. Zeile und 12.Spalte, Wert:75866.97662453762
1. Zeile und 13.Spalte, Wert:76486.9168339371
1. Zeile und 14.Spalte, Wert:75432.71169575135
1. Zeile und 15.Spalte, Wert:76107.20070168228
1. Zeile und 16.Spalte, Wert:75994.68950597513
1. Zeile und 17.Spalte, Wert:76603.56666856015
1. Zeile und 18.Spalte, Wert:76344.16269037501
1. Zeile und 19.Spalte, Wert:76298.1925663503
1. Zeile und 20.Spalte, Wert:75719.35852175477
1. Zeile und 21.Spalte, Wert:76269.95842655996
1. Zeile und 22.Spalte, Wert:76623.35855133782
1. Zeile und 23.Spalte, Wert:76030.61421623494
1. Zeile und 24.Spalte, Wert:76165.5017697772
1. Zeile und 25.Spalte, Wert:76079.60005530083
1. Zeile und 26.Spalte, Wert:76167.8883464386
1. Zeile und 27.Spalte, Wert:75982.25843702341
1. Zeile und 28.Spalte, Wert:76114.75018408718
1. Zeile und 29.Spalte, Wert:76373.16856327643
1. Zeile und 30.Spalte, Wert:76212.55620907653
1. Zeile und 31.Spalte, Wert:76386.09286233514
1. Zeile und 32.Spalte, Wert:76563.27854753565
1. Zeile und 33.Spalte, Wert:76584.91820027094
1. Zeile und 34.Spalte, Wert:76086.11363900497
1. Zeile und 35.Spalte, Wert:76611.26651720979
1. Zeile und 36.Spalte, Wert:76556.24842581667
1. Zeile und 37.Spalte, Wert:76291.37602321056
1. Zeile und 38.Spalte, Wert:76301.62160219564
1. Zeile und 39.Spalte, Wert:76623.72908349877
1. Zeile und 40.Spalte, Wert:76650.81258994747
1. Zeile und 41.Spalte, Wert:76343.54478331453
1. Zeile und 42.Spalte, Wert:76314.43542969585
1. Zeile und 43.Spalte, Wert:76641.26864737202
1. Zeile und 44.Spalte, Wert:77684.29350699928
1. Zeile und 45.Spalte, Wert:76239.03182048233
1. Zeile und 46.Spalte, Wert:76415.57135890413
1. Zeile und 47.Spalte, Wert:76459.01995166377
1. Zeile und 48.Spalte, Wert:76192.29434439055
1. Zeile und 49.Spalte, Wert:76551.9877451814
1. Zeile und 50.Spalte, Wert:76643.41753306208
1. Zeile und 51.Spalte, Wert:87304.80235975927
1. Zeile und 52.Spalte, Wert:77536.56247783612
1. Zeile und 53.Spalte, Wert:76551.1839730248
1. Zeile und 54.Spalte, Wert:76296.6500706738
1. Zeile und 55.Spalte, Wert:76288.94753284105
1. Zeile und 56.Spalte, Wert:76580.3205141209
1. Zeile und 57.Spalte, Wert:76440.29753204608
1. Zeile und 58.Spalte, Wert:76414.56517612652
1. Zeile und 59.Spalte, Wert:76626.20338006713
1. Zeile und 60.Spalte, Wert:76552.73550072793
1. Zeile und 61.Spalte, Wert:76628.34506077835
1. Zeile und 62.Spalte, Wert:76632.33476225958
1. Zeile und 63.Spalte, Wert:76666.96733372829
1. Zeile und 64.Spalte, Wert:76634.36034621154
1. Zeile und 65.Spalte, Wert:76560.90161894534
1. Zeile und 66.Spalte, Wert:76404.38873205434
1. Zeile und 67.Spalte, Wert:76648.61938512922
1. Zeile und 68.Spalte, Wert:76671.13470262857
1. Zeile und 69.Spalte, Wert:77429.43463519748
1. Zeile und 70.Spalte, Wert:76529.21012383464
1. Zeile und 71.Spalte, Wert:76455.22977146604
1. Zeile und 72.Spalte, Wert:76264.7772436837
1. Zeile und 73.Spalte, Wert:76425.61936609546
1. Zeile und 74.Spalte, Wert:76534.88414433014
1. Zeile und 75.Spalte, Wert:76475.62193053383
1. Zeile und 76.Spalte, Wert:76400.01029168605
1. Zeile und 77.Spalte, Wert:76570.1474644467
1. Zeile und 78.Spalte, Wert:76667.60308195137
1. Zeile und 79.Spalte, Wert:76392.68735511285
1. Zeile und 80.Spalte, Wert:76593.24095374114
1. Zeile und 81.Spalte, Wert:76555.63361082898
1. Zeile und 82.Spalte, Wert:76496.51818386544
1. Zeile und 83.Spalte, Wert:76559.53987701255
1. Zeile und 84.Spalte, Wert:76647.19312945416
1. Zeile und 85.Spalte, Wert:76492.21536184759
1. Zeile und 86.Spalte, Wert:76533.92437618089
1. Zeile und 87.Spalte, Wert:76628.1411174867
1. Zeile und 88.Spalte, Wert:76498.01789968675
1. Zeile und 89.Spalte, Wert:76593.41480079468
1. Zeile und 90.Spalte, Wert:78263.25032270438
1. Zeile und 91.Spalte, Wert:76660.19914876745
1. Zeile und 92.Spalte, Wert:76631.19741097484
1. Zeile und 93.Spalte, Wert:76576.73534399937
1. Zeile und 94.Spalte, Wert:76665.08156893284
1. Zeile und 95.Spalte, Wert:76401.09719622937
1. Zeile und 96.Spalte, Wert:76598.70750648994
1. Zeile und 97.Spalte, Wert:76571.67702843017
1. Zeile und 98.Spalte, Wert:76276.48831202785
1. Zeile und 99.Spalte, Wert:77977.02056291605
1. Zeile und 100.Spalte, Wert:76314.53207438598
2. Zeile und 0.Spalte, Wert:74525.2228936659
2. Zeile und 1.Spalte, Wert:73846.19142656203
2. Zeile und 2.Spalte, Wert:75872.69216800354
2. Zeile und 3.Spalte, Wert:74812.73644802724
2. Zeile und 4.Spalte, Wert:75166.66277368109
2. Zeile und 5.Spalte, Wert:76156.90454178266
2. Zeile und 6.Spalte, Wert:75618.29655053842
2. Zeile und 7.Spalte, Wert:75591.22904771779
2. Zeile und 8.Spalte, Wert:75735.16653099096
2. Zeile und 9.Spalte, Wert:75470.74426616718
2. Zeile und 10.Spalte, Wert:75617.74876633506
2. Zeile und 11.Spalte, Wert:75341.20985550938
2. Zeile und 12.Spalte, Wert:76156.21843964225
2. Zeile und 13.Spalte, Wert:76376.28237054654
2. Zeile und 14.Spalte, Wert:75909.36625412155
2. Zeile und 15.Spalte, Wert:76355.7381959191
2. Zeile und 16.Spalte, Wert:75880.87170483831
2. Zeile und 17.Spalte, Wert:76053.96340328507
2. Zeile und 18.Spalte, Wert:76655.432161698
2. Zeile und 19.Spalte, Wert:76457.33144323392
2. Zeile und 20.Spalte, Wert:76642.55492241506
2. Zeile und 21.Spalte, Wert:75941.28961755049
2. Zeile und 22.Spalte, Wert:76293.30404907666
2. Zeile und 23.Spalte, Wert:75956.13763226091
2. Zeile und 24.Spalte, Wert:76038.5250113307
2. Zeile und 25.Spalte, Wert:76164.17617018308
2. Zeile und 26.Spalte, Wert:76601.52289291123
2. Zeile und 27.Spalte, Wert:76532.66830683641
2. Zeile und 28.Spalte, Wert:76485.36182215165
2. Zeile und 29.Spalte, Wert:76389.3327821449
2. Zeile und 30.Spalte, Wert:76657.83506051496
2. Zeile und 31.Spalte, Wert:76394.28097919343
2. Zeile und 32.Spalte, Wert:76257.6127628119
2. Zeile und 33.Spalte, Wert:76317.77217749761
2. Zeile und 34.Spalte, Wert:76358.5256205859
2. Zeile und 35.Spalte, Wert:76332.58368453835
2. Zeile und 36.Spalte, Wert:76550.05196757597
2. Zeile und 37.Spalte, Wert:76359.23219173738
2. Zeile und 38.Spalte, Wert:76495.84803661004
2. Zeile und 39.Spalte, Wert:76502.81670970807
2. Zeile und 40.Spalte, Wert:76606.59271818906
2. Zeile und 41.Spalte, Wert:76623.20974487418
2. Zeile und 42.Spalte, Wert:76331.92639726512
2. Zeile und 43.Spalte, Wert:78407.03335521767
2. Zeile und 44.Spalte, Wert:76315.19187836019
2. Zeile und 45.Spalte, Wert:76550.0314943714
2. Zeile und 46.Spalte, Wert:76289.95536560543
2. Zeile und 47.Spalte, Wert:76445.33933723987
2. Zeile und 48.Spalte, Wert:76280.20608391479
2. Zeile und 49.Spalte, Wert:76521.87650899414
2. Zeile und 50.Spalte, Wert:76439.15064462417
2. Zeile und 51.Spalte, Wert:77568.86886173394
2. Zeile und 52.Spalte, Wert:78679.2009322976
2. Zeile und 53.Spalte, Wert:76189.48754378958
2. Zeile und 54.Spalte, Wert:76293.56204282468
2. Zeile und 55.Spalte, Wert:76283.86382330743
2. Zeile und 56.Spalte, Wert:76308.40248109703
2. Zeile und 57.Spalte, Wert:76518.02636957391
2. Zeile und 58.Spalte, Wert:76671.41893541452
2. Zeile und 59.Spalte, Wert:76641.84957459573
2. Zeile und 60.Spalte, Wert:76566.12362050108
2. Zeile und 61.Spalte, Wert:76588.15177747463
2. Zeile und 62.Spalte, Wert:76481.49982411615
2. Zeile und 63.Spalte, Wert:76321.35610664834
2. Zeile und 64.Spalte, Wert:76525.87880797252
2. Zeile und 65.Spalte, Wert:76384.27675448591
2. Zeile und 66.Spalte, Wert:76633.4286437521
2. Zeile und 67.Spalte, Wert:76245.59937745558
2. Zeile und 68.Spalte, Wert:76337.28902459629
2. Zeile und 69.Spalte, Wert:76519.1229140526
2. Zeile und 70.Spalte, Wert:76561.83266654194
2. Zeile und 71.Spalte, Wert:76482.9982695471
2. Zeile und 72.Spalte, Wert:76695.59424226695
2. Zeile und 73.Spalte, Wert:76632.89929007993
2. Zeile und 74.Spalte, Wert:76574.75770174133
2. Zeile und 75.Spalte, Wert:76590.3287659642
2. Zeile und 76.Spalte, Wert:76508.7058107625
2. Zeile und 77.Spalte, Wert:76367.60262220744
2. Zeile und 78.Spalte, Wert:78144.37482956855
2. Zeile und 79.Spalte, Wert:76977.53473610348
2. Zeile und 80.Spalte, Wert:76662.12514406558
2. Zeile und 81.Spalte, Wert:76571.20278055753
2. Zeile und 82.Spalte, Wert:76518.35892776627
2. Zeile und 83.Spalte, Wert:76576.7669161145
2. Zeile und 84.Spalte, Wert:76542.43313857242
2. Zeile und 85.Spalte, Wert:76640.50525142738
2. Zeile und 86.Spalte, Wert:76673.18631448722
2. Zeile und 87.Spalte, Wert:77060.22056936975
2. Zeile und 88.Spalte, Wert:76607.62250912013
2. Zeile und 89.Spalte, Wert:76484.42225457882
2. Zeile und 90.Spalte, Wert:76652.90974243838
2. Zeile und 91.Spalte, Wert:76642.88718187844
2. Zeile und 92.Spalte, Wert:88590.80289500432
2. Zeile und 93.Spalte, Wert:76505.26110947732
2. Zeile und 94.Spalte, Wert:76769.26631244556
2. Zeile und 95.Spalte, Wert:76616.47276109458
2. Zeile und 96.Spalte, Wert:76560.03572710784
2. Zeile und 97.Spalte, Wert:76525.2096754984
2. Zeile und 98.Spalte, Wert:78785.10550876049
2. Zeile und 99.Spalte, Wert:76591.4903905762
2. Zeile und 100.Spalte, Wert:76518.52146056536
3. Zeile und 0.Spalte, Wert:74539.1668012368
3. Zeile und 1.Spalte, Wert:76266.37688688011
3. Zeile und 2.Spalte, Wert:74625.74469811161
3. Zeile und 3.Spalte, Wert:74366.97888436618
3. Zeile und 4.Spalte, Wert:73523.70316958443
3. Zeile und 5.Spalte, Wert:75324.93584612024
3. Zeile und 6.Spalte, Wert:75620.00862679872
3. Zeile und 7.Spalte, Wert:75288.50687909104
3. Zeile und 8.Spalte, Wert:75731.43156749514
3. Zeile und 9.Spalte, Wert:75726.78684178721
3. Zeile und 10.Spalte, Wert:75185.55724061085
3. Zeile und 11.Spalte, Wert:76365.27504094184
3. Zeile und 12.Spalte, Wert:76765.83418466529
3. Zeile und 13.Spalte, Wert:76139.32167345489
3. Zeile und 14.Spalte, Wert:76465.27916547254
3. Zeile und 15.Spalte, Wert:76482.42050030298
3. Zeile und 16.Spalte, Wert:75666.76103824443
3. Zeile und 17.Spalte, Wert:76398.08454964944
3. Zeile und 18.Spalte, Wert:76212.97065922932
3. Zeile und 19.Spalte, Wert:76359.22293067377
