1. Zeile und 17.Spalte, Wert:191344.24237689967
1. Zeile und 18.Spalte, Wert:190625.93777650758
1. Zeile und 19.Spalte, Wert:190834.39210211555
1. Zeile und 20.Spalte, Wert:191089.6321526513
1. Zeile und 21.Spalte, Wert:190689.30768300366
1. Zeile und 22.Spalte, Wert:190426.02846381447
1. Zeile und 23.Spalte, Wert:190748.73114221808
1. Zeile und 24.Spalte, Wert:191169.53402728957
1. Zeile und 25.Spalte, Wert:191092.307116444
1. Zeile und 26.Spalte, Wert:191277.13962034567
1. Zeile und 27.Spalte, Wert:190994.61898177958
1. Zeile und 28.Spalte, Wert:191316.4647475995
1. Zeile und 29.Spalte, Wert:190856.64384826808
1. Zeile und 30.Spalte, Wert:190590.30874535893
1. Zeile und 31.Spalte, Wert:191136.4590255543
1. Zeile und 32.Spalte, Wert:190788.03499167846
1. Zeile und 33.Spalte, Wert:190550.70163166797
1. Zeile und 34.Spalte, Wert:190049.50621156773
1. Zeile und 35.Spalte, Wert:190416.25427431738
1. Zeile und 36.Spalte, Wert:190416.8490018664
1. Zeile und 37.Spalte, Wert:190954.58809091034
1. Zeile und 38.Spalte, Wert:190872.2467255225
1. Zeile und 39.Spalte, Wert:190404.61381371398
1. Zeile und 40.Spalte, Wert:191017.04238670325
1. Zeile und 41.Spalte, Wert:190588.9573507771
1. Zeile und 42.Spalte, Wert:191191.5850940515
1. Zeile und 43.Spalte, Wert:190394.9136181997
1. Zeile und 44.Spalte, Wert:191013.77280765053
1. Zeile und 45.Spalte, Wert:190704.735411086
1. Zeile und 46.Spalte, Wert:191127.6519116275
1. Zeile und 47.Spalte, Wert:190591.54094937866
1. Zeile und 48.Spalte, Wert:191176.83505407404
1. Zeile und 49.Spalte, Wert:191066.2169978537
1. Zeile und 50.Spalte, Wert:190712.76697276035
1. Zeile und 51.Spalte, Wert:191094.048413287
1. Zeile und 52.Spalte, Wert:190412.67201752105
1. Zeile und 53.Spalte, Wert:190084.8060729735
1. Zeile und 54.Spalte, Wert:190767.36820383865
1. Zeile und 55.Spalte, Wert:190852.20274778042
1. Zeile und 56.Spalte, Wert:190210.16801865978
1. Zeile und 57.Spalte, Wert:190269.41505851026
1. Zeile und 58.Spalte, Wert:191038.81338474824
1. Zeile und 59.Spalte, Wert:190724.24644090916
1. Zeile und 60.Spalte, Wert:190636.31874675702
1. Zeile und 61.Spalte, Wert:190575.72181163047
1. Zeile und 62.Spalte, Wert:190331.0315542679
1. Zeile und 63.Spalte, Wert:190363.42419836464
1. Zeile und 64.Spalte, Wert:191037.99657687367
1. Zeile und 65.Spalte, Wert:190876.9620811211
1. Zeile und 66.Spalte, Wert:190697.886727567
1. Zeile und 67.Spalte, Wert:190603.51846987422
1. Zeile und 68.Spalte, Wert:190868.24856617054
1. Zeile und 69.Spalte, Wert:191118.66125286176
1. Zeile und 70.Spalte, Wert:190835.15481622168
1. Zeile und 71.Spalte, Wert:191253.17201152435
1. Zeile und 72.Spalte, Wert:190819.02256798203
1. Zeile und 73.Spalte, Wert:191146.66805424672
1. Zeile und 74.Spalte, Wert:191109.85419741354
1. Zeile und 75.Spalte, Wert:190608.42217406016
1. Zeile und 76.Spalte, Wert:190530.37977063056
1. Zeile und 77.Spalte, Wert:190193.68887839495
1. Zeile und 78.Spalte, Wert:191143.78211230197
1. Zeile und 79.Spalte, Wert:189298.68685082588
1. Zeile und 80.Spalte, Wert:190369.50172292496
1. Zeile und 81.Spalte, Wert:218429.6157025921
1. Zeile und 82.Spalte, Wert:191153.61556317005
1. Zeile und 83.Spalte, Wert:190789.01484620143
1. Zeile und 84.Spalte, Wert:190194.64062663345
1. Zeile und 85.Spalte, Wert:191044.79762189728
1. Zeile und 86.Spalte, Wert:190465.10285030727
1. Zeile und 87.Spalte, Wert:190411.6270195318
1. Zeile und 88.Spalte, Wert:190009.470522526
1. Zeile und 89.Spalte, Wert:190396.95794616838
1. Zeile und 90.Spalte, Wert:190889.5007392494
1. Zeile und 91.Spalte, Wert:190747.5662941942
1. Zeile und 92.Spalte, Wert:191202.60974591618
1. Zeile und 93.Spalte, Wert:191085.99528466506
1. Zeile und 94.Spalte, Wert:189968.50057775952
1. Zeile und 95.Spalte, Wert:190327.4151298272
1. Zeile und 96.Spalte, Wert:190631.45615783727
1. Zeile und 97.Spalte, Wert:191030.952523772
1. Zeile und 98.Spalte, Wert:191053.00132914138
1. Zeile und 99.Spalte, Wert:190769.19684980004
1. Zeile und 100.Spalte, Wert:190088.8779208204
2. Zeile und 0.Spalte, Wert:188830.56505955892
2. Zeile und 1.Spalte, Wert:188735.59554711025
2. Zeile und 2.Spalte, Wert:188720.63597952592
2. Zeile und 3.Spalte, Wert:189150.77399170527
2. Zeile und 4.Spalte, Wert:189111.01501698254
2. Zeile und 5.Spalte, Wert:189230.1540772884
2. Zeile und 6.Spalte, Wert:188520.51546568164
2. Zeile und 7.Spalte, Wert:189250.93500127268
2. Zeile und 8.Spalte, Wert:189106.34856910212
2. Zeile und 9.Spalte, Wert:188935.17834596994
2. Zeile und 10.Spalte, Wert:188964.642862043
2. Zeile und 11.Spalte, Wert:189398.5889617935
2. Zeile und 12.Spalte, Wert:189017.9611159373
2. Zeile und 13.Spalte, Wert:188846.77310585376
2. Zeile und 14.Spalte, Wert:188963.7021174379
2. Zeile und 15.Spalte, Wert:189077.8441551249
2. Zeile und 16.Spalte, Wert:189037.0556746201
2. Zeile und 17.Spalte, Wert:189137.60554201383
2. Zeile und 18.Spalte, Wert:189012.12428996954
2. Zeile und 19.Spalte, Wert:189161.42270719926
2. Zeile und 20.Spalte, Wert:188949.6323068731
2. Zeile und 21.Spalte, Wert:189237.94012554688
2. Zeile und 22.Spalte, Wert:189175.32334459704
2. Zeile und 23.Spalte, Wert:189240.73057734207
2. Zeile und 24.Spalte, Wert:189085.29956850258
2. Zeile und 25.Spalte, Wert:189161.4297897959
2. Zeile und 26.Spalte, Wert:189074.93448078982
2. Zeile und 27.Spalte, Wert:189305.48755678773
2. Zeile und 28.Spalte, Wert:188891.15513680544
2. Zeile und 29.Spalte, Wert:189131.89973604254
2. Zeile und 30.Spalte, Wert:189284.96620365744
2. Zeile und 31.Spalte, Wert:189386.62509529348
2. Zeile und 32.Spalte, Wert:188937.39101853757
2. Zeile und 33.Spalte, Wert:188939.46137616967
2. Zeile und 34.Spalte, Wert:189239.69358313698
2. Zeile und 35.Spalte, Wert:189030.97432446392
2. Zeile und 36.Spalte, Wert:189029.0716871516
2. Zeile und 37.Spalte, Wert:188248.4487530935
2. Zeile und 38.Spalte, Wert:189343.0160755508
2. Zeile und 39.Spalte, Wert:188818.2608010153
2. Zeile und 40.Spalte, Wert:188842.51425379558
2. Zeile und 41.Spalte, Wert:189383.5270568208
2. Zeile und 42.Spalte, Wert:189379.02109191706
2. Zeile und 43.Spalte, Wert:189090.23846789513
2. Zeile und 44.Spalte, Wert:189294.49723515415
2. Zeile und 45.Spalte, Wert:188993.73280706815
2. Zeile und 46.Spalte, Wert:188938.1333641077
2. Zeile und 47.Spalte, Wert:188519.2407349655
2. Zeile und 48.Spalte, Wert:188944.49417987006
